Li,Ni,Co,Mn,M,LC_a,LC_c,CV,CD,V_min,V_max,Mr_dopant,Mr,no_electron_M,EN_M,No_iso_dopant,E_ion_dopant,EA_dopant,AR_dopant,IR_dopant,IC,EC
1.007,0.598,0.201,0.15,0.05,2.8696,14.2205,101.412,160,2.8,4.5,24.31,94.17,12,1.31,8,738,-0.4,145,150,179.8,169.67
1.142,0.18,0.105,0.548,0.025,2.8577,14.2441,100.74,100,2.5,4.6,22.99,86.78,11,0.93,7,496,0.547,190,180,204.09,181.36
1.117,0.18,0.105,0.548,0.05,2.8573,14.2541,100.782,100,2.5,4.6,22.99,86.61,11,0.93,7,496,0.547,190,180,202.73,185.45
1.092,0.18,0.105,0.548,0.075,2.8557,14.2558,100.68,100,2.5,4.6,22.99,86.44,11,0.93,7,496,0.547,190,180,213.18,188.18
1.067,0.18,0.105,0.548,0.1,2.8569,14.2301,100.586,100,2.5,4.6,22.99,86.26,11,0.93,7,496,0.547,190,180,193.64,152.27
1,0.6,0.15,0.2,0.05,2.8864,14.2801,103.034,160,2.5,4.3,118.71,93.98,50,1.96,28,709,1.112,145,145,128.57,127.76
1,0.6,0.15,0.2,0.05,2.8774,14.2525,102.195,160,2.5,4.3,55.85,93.98,26,1.83,10,763,0.153,156,140,125.71,125.31
1,0.6,0.15,0.2,0.05,2.8657,14.239,101.268,160,2.5,4.3,26.98,93.98,13,1.61,8,578,0.432,118,125,128.57,118.78
1,0.495,0.198,0.297,0.01,2.8764,14.2634,102.2,160,3,4.6,91.22,95.98,40,1.33,20,640,0.433,206,155,182.33,162.67
1,0.45,0.05,0.45,0.05,2.8796,14.2812,102.556,12,2,4.3,26.98,93.02,13,1.61,8,578,0.432,118,125,147.21,125.9
1,0.776,0.097,0.097,0.03,2.8689,14.2162,101.332,80,3,4.5,24.31,95.53,12,1.31,8,738,-0.4,145,150,214.58,202.37
1,0.791,0.098,0.1,0.012,2.8645,14.1623,100.638,40,2.75,4.5,140.12,96.58,58,1.12,19,534,0.57,185,185,179.2,161.1
1,0.799,0.097,0.092,0.014,2.8643,14.167,100.657,40,2.75,4.5,140.12,96.63,58,1.12,19,534,0.57,185,185,190.2,186.37
1,0.793,0.099,0.096,0.012,2.8641,14.1678,100.649,40,2.75,4.5,140.12,96.56,58,1.12,19,534,0.57,185,185,196.8,196.04
1,0.799,0.091,0.098,0.013,2.866,14.1774,100.851,40,2.75,4.5,140.12,96.56,58,1.12,19,534,0.57,185,185,199.1,189.67
1,0.499,0.209,0.281,0.011,2.8732,14.268,102.006,200,3,4.6,95.94,95.97,42,2.16,20,684,0.747,190,145,174.8,161.79
1,0.519,0.217,0.26,0.004,2.876,14.2702,102.221,200,3,4.6,95.94,96.5,42,2.16,20,684,0.747,190,145,176.8,132.74
1,0.512,0.202,0.263,0.024,2.8781,14.2748,102.403,200,3,4.6,95.94,95.29,42,2.16,20,684,0.747,190,145,170.4,157.5
1,0.499,0.203,0.253,0.046,2.8837,14.2881,102.898,200,3,4.6,95.94,94.06,42,2.16,20,684,0.747,190,145,165.12,150.6
1,0.788,0.107,0.1,0.006,2.8799,14.2311,102.217,200,2.8,4.5,183.84,96.96,74,2.36,22,770,0.816,193,135,190.33,183.67
1.2,0.534,0.133,0.126,0.007,2.8513,14.2699,100.47,20,2,4.6,88.91,86.45,39,1.22,21,600,0.307,212,185,349.7,275.84
1.2,0.534,0.133,0.12,0.013,2.8526,14.2187,100.201,20,2,4.6,88.91,86.08,39,1.22,21,600,0.307,212,185,262.1,252.07
1.013,0.801,0.095,0.097,0.004,2.8699,14.2003,101.289,20,2.8,4.5,91.22,96.97,40,1.33,20,640,0.433,206,155,176.91,164.54
1.015,0.796,0.095,0.096,0.009,2.8707,14.2051,101.38,20,2.8,4.5,91.22,96.64,40,1.33,20,640,0.433,206,155,174.52,159.3
1.011,0.784,0.105,0.103,0.019,2.8721,14.2067,101.49,20,2.8,4.5,91.22,96.88,40,1.33,20,640,0.433,206,155,170.24,155.02
1,0.313,0.313,0.313,0.06,2.8671,14.2767,101.635,15,2.5,4.5,55.85,93.01,26,1.83,10,763,0.153,156,140,143.74,95.86
1,0.313,0.313,0.313,0.06,2.8585,14.2559,100.879,15,2.5,4.5,26.98,93.01,13,1.61,8,578,0.432,118,125,158.43,130.23
1,0.313,0.313,0.313,0.06,2.8654,14.2597,101.394,15,2.5,4.5,24.31,93.01,12,1.31,8,738,-0.4,145,150,148.74,136.17
1,0.313,0.313,0.313,0.06,2.8647,14.2431,101.226,15,2.5,4.5,65.39,93.01,30,1.65,15,906,-0.6,142,135,115.93,42.11
1,0.333,0.311,0.333,0.067,2.886,14.2522,102.803,28,2.7,4.2,140.12,95.15,58,1.12,19,534,0.57,185,185,117,101
1.17,0.13,0.13,0.54,0.03,2.8642,14.2721,101.397,100,2,4.8,22.99,85.08,11,0.93,7,496,0.547,190,180,259.2,237.72
